A = 8726, B = 66, C = 694
A = -757, B = 43, C = 700
A =       -757, B =         43, C =        700
A = -000000757, B = 0000000043, C = 0000000700
A = -757      , B = 43        , C = 700       
A = 7146, B = 31, C = 723
A =       7146, B =         31, C =        723
A = 0000007146, B = 0000000031, C = 0000000723
A = 7146      , B = 31        , C = 723       
A = -5308, B = 90, C = 106
A =      -5308, B =         90, C =        106
A = -000005308, B = 0000000090, C = 0000000106
A = -5308     , B = 90        , C = 106       
A = 7891, B = 38, C = 206
A =       7891, B =         38, C =        206
A = 0000007891, B = 0000000038, C = 0000000206
A = 7891      , B = 38        , C = 206       
A = -8521, B = 90, C = 633
A =      -8521, B =         90, C =        633
A = -000008521, B = 0000000090, C = 0000000633
A = -8521     , B = 90        , C = 633       
A = -1626, B = 92, C = 971
A =      -1626, B =         92, C =        971
A = -000001626, B = 0000000092, C = 0000000971
A = -1626     , B = 92        , C = 971       
A = 8769, B = 57, C = 288
A =       8769, B =         57, C =        288
A = 0000008769, B = 0000000057, C = 0000000288
A = 8769      , B = 57        , C = 288       
A = -1590, B = 6, C = 301
A =      -1590, B =          6, C =        301
A = -000001590, B = 0000000006, C = 0000000301
A = -1590     , B = 6         , C = 301       
A = 1560, B = 63, C = 828
A =       1560, B =         63, C =        828
A = 0000001560, B = 0000000063, C = 0000000828
A = 1560      , B = 63        , C = 828       
A = 3597, B = 76, C = 15
A =       3597, B =         76, C =         15
A = 0000003597, B = 0000000076, C = 0000000015
A = 3597      , B = 76        , C = 15        
A = -6518, B = 86, C = 810
A =      -6518, B =         86, C =        810
A = -000006518, B = 0000000086, C = 0000000810
A = -6518     , B = 86        , C = 810       
A = -3534, B = 40, C = 318
A =      -3534, B =         40, C =        318
A = -000003534, B = 0000000040, C = 0000000318
A = -3534     , B = 40        , C = 318       
A = -5739, B = 5, C = 637
A =      -5739, B =          5, C =        637
A = -000005739, B = 0000000005, C = 0000000637
A = -5739     , B = 5         , C = 637       
A = -9968, B = 91, C = 984
A =      -9968, B =         91, C =        984
A = -000009968, B = 0000000091, C = 0000000984
A = -9968     , B = 91        , C = 984       
A = 7660, B = 11, C = 479
A =       7660, B =         11, C =        479
A = 0000007660, B = 0000000011, C = 0000000479
A = 7660      , B = 11        , C = 479       
A = -2910, B = 51, C = 938
A =      -2910, B =         51, C =        938
A = -000002910, B = 0000000051, C = 0000000938
A = -2910     , B = 51        , C = 938       
A = -9425, B = 20, C = 994
A =      -9425, B =         20, C =        994
A = -000009425, B = 0000000020, C = 0000000994
A = -9425     , B = 20        , C = 994       
A = 7683, B = 36, C = 81
A =       7683, B =         36, C =         81
A = 0000007683, B = 0000000036, C = 0000000081
A = 7683      , B = 36        , C = 81        
A = 9997, B = 55, C = 283
A =       9997, B =         55, C =        283
A = 0000009997, B = 0000000055, C = 0000000283
A = 9997      , B = 55        , C = 283       
A = 6876, B = 83, C = 273
A =       6876, B =         83, C =        273
A = 0000006876, B = 0000000083, C = 0000000273
A = 6876      , B = 83        , C = 273       
A = 8423, B = 80, C = 700
A =       8423, B =         80, C =        700
A = 0000008423, B = 0000000080, C = 0000000700
A = 8423      , B = 80        , C = 700       
A = 7771, B = 95, C = 704
A =       7771, B =         95, C =        704
A = 0000007771, B = 0000000095, C = 0000000704
A = 7771      , B = 95        , C = 704       
A = 2624, B = 8, C = 23
A =       2624, B =          8, C =         23
A = 0000002624, B = 0000000008, C = 0000000023
A = 2624      , B = 8         , C = 23        
A = 6771, B = 10, C = 22
A =       6771, B =         10, C =         22
A = 0000006771, B = 0000000010, C = 0000000022
A = 6771      , B = 10        , C = 22        
A = 2199, B = 22, C = 336
A =       2199, B =         22, C =        336
A = 0000002199, B = 0000000022, C = 0000000336
A = 2199      , B = 22        , C = 336       
A = -8741, B = 92, C = 690
A =      -8741, B =         92, C =        690
A = -000008741, B = 0000000092, C = 0000000690
A = -8741     , B = 92        , C = 690       
A = -5046, B = 27, C = 435
A =      -5046, B =         27, C =        435
A = -000005046, B = 0000000027, C = 0000000435
A = -5046     , B = 27        , C = 435       
A = 1239, B = 12, C = 880
A =       1239, B =         12, C =        880
A = 0000001239, B = 0000000012, C = 0000000880
A = 1239      , B = 12        , C = 880       
A = -1080, B = 98, C = 497
A =      -1080, B =         98, C =        497
A = -000001080, B = 0000000098, C = 0000000497
A = -1080     , B = 98        , C = 497       
A = 3988, B = 3, C = 582
A =       3988, B =          3, C =        582
A = 0000003988, B = 0000000003, C = 0000000582
A = 3988      , B = 3         , C = 582       
A = 3925, B = 15, C = 335
A =       3925, B =         15, C =        335
A = 0000003925, B = 0000000015, C = 0000000335
A = 3925      , B = 15        , C = 335       
A = -414, B = 48, C = 998
A =       -414, B =         48, C =        998
A = -000000414, B = 0000000048, C = 0000000998
A = -414      , B = 48        , C = 998       
A = -9431, B = 25, C = 710
A =      -9431, B =         25, C =        710
A = -000009431, B = 0000000025, C = 0000000710
A = -9431     , B = 25        , C = 710       
A = -2764, B = 48, C = 400
A =      -2764, B =         48, C =        400
A = -000002764, B = 0000000048, C = 0000000400
A = -2764     , B = 48        , C = 400       
A = -5597, B = 70, C = 629
A =      -5597, B =         70, C =        629
A = -000005597, B = 0000000070, C = 0000000629
A = -5597     , B = 70        , C = 629       
A = 4362, B = 43, C = 145
A =       4362, B =         43, C =        145
A = 0000004362, B = 0000000043, C = 0000000145
A = 4362      , B = 43        , C = 145       
A = 7889, B = 22, C = 829
A =       7889, B =         22, C =        829
A = 0000007889, B = 0000000022, C = 0000000829
A = 7889      , B = 22        , C = 829       
A = -7245, B = 89, C = 7
A =      -7245, B =         89, C =          7
A = -000007245, B = 0000000089, C = 0000000007
A = -7245     , B = 89        , C = 7         
A = 1726, B = 83, C = 105
A =       1726, B =         83, C =        105
A = 0000001726, B = 0000000083, C = 0000000105
A = 1726      , B = 83        , C = 105       
A = -8754, B = 40, C = 982
A =      -8754, B =         40, C =        982
A = -000008754, B = 0000000040, C = 0000000982
A = -8754     , B = 40        , C = 982       
A = -3602, B = 82, C = 154
A =      -3602, B =         82, C =        154
A = -000003602, B = 0000000082, C = 0000000154
A = -3602     , B = 82        , C = 154       
A = 3933, B = 52, C = 830
A =       3933, B =         52, C =        830
A = 0000003933, B = 0000000052, C = 0000000830
A = 3933      , B = 52        , C = 830       
A = -6968, B = 4, C = 647
A =      -6968, B =          4, C =        647
A = -000006968, B = 0000000004, C = 0000000647
A = -6968     , B = 4         , C = 647       
A = -5327, B = 74, C = 921
A =      -5327, B =         74, C =        921
A = -000005327, B = 0000000074, C = 0000000921
A = -5327     , B = 74        , C = 921       
A = 2622, B = 44, C = 972
A =       2622, B =         44, C =        972
A = 0000002622, B = 0000000044, C = 0000000972
A = 2622      , B = 44        , C = 972       
A = 9991, B = 1, C = 1
A =       9991, B =          1, C =          1
A = 0000009991, B = 0000000001, C = 0000000001
A = 9991      , B = 1         , C = 1         
